WorldSize,Run,ActualTime
2,0,4.655832290649414
4,0,2.6761207580566406
6,0,2.7103145122528076
8,0,2.5013198852539062
10,0,4.343376159667969
12,0,4.843925476074219
14,0,5.413763523101807
16,0,6.156095027923584
