NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart
10,1,0,10,11
10,0,0,22,23
10,3,0,20,32
10,2,11,24,37
10,4,12,20,45
10,6,0,33,72
10,5,13,39,78
10,7,8,35,82
