NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart
10,1,0,11,11
10,2,11,171,183
10,0,0,185,185
10,4,0,3,186
10,3,171,20,203
10,6,1,24,211
10,5,2,170,356
10,8,144,3,359
10,7,24,166,378
10,9,3,175,535
