NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart,ExecutedAt
70,1,0,12,13,master-10.244.3.25:exec-10.244.3.25
70,0,0,17,17,master-10.244.3.25:exec-10.244.3.25
70,3,4,11,30,master-10.244.1.16:exec-10.244.1.16
70,2,13,16,30,master-10.244.3.25:exec-10.244.3.25
70,4,13,11,43,master-10.244.1.16:exec-10.244.1.16
70,5,0,11,43,master-10.244.0.12:exec-10.244.0.12
70,6,13,11,57,master-10.244.2.13:exec-10.244.2.13
70,7,0,13,59,master-10.244.3.25:exec-10.244.3.25
70,8,13,11,70,master-10.244.2.13:exec-10.244.2.13
70,9,2,12,72,master-10.244.0.12:exec-10.244.0.12
70,10,11,11,83,master-10.244.1.16:exec-10.244.1.16
70,11,2,11,85,master-10.244.1.16:exec-10.244.1.16
70,12,10,15,100,master-10.244.2.13:exec-10.244.2.13
70,13,2,13,101,master-10.244.0.12:exec-10.244.0.12
70,14,14,11,114,master-10.244.0.12:exec-10.244.0.12
70,15,0,13,116,master-10.244.2.13:exec-10.244.2.13
70,16,12,11,127,master-10.244.3.25:exec-10.244.3.25
70,17,2,11,129,master-10.244.2.13:exec-10.244.2.13
70,18,10,11,140,master-10.244.1.16:exec-10.244.1.16
70,19,2,11,142,master-10.244.1.16:exec-10.244.1.16
70,20,10,11,153,master-10.244.2.13:exec-10.244.0.12
70,21,2,11,155,master-10.244.0.12:exec-10.244.1.16
70,22,10,11,166,master-10.244.1.16:exec-10.244.1.16
70,23,2,13,171,master-10.244.2.13:exec-10.244.2.13
70,24,10,11,179,master-10.244.1.16:exec-10.244.1.16
70,25,4,11,184,master-10.244.2.13:exec-10.244.2.13
70,26,8,11,192,master-10.244.2.13:exec-10.244.0.12
70,27,4,16,201,master-10.244.2.13:exec-10.244.2.13
70,28,8,11,206,master-10.244.1.16:exec-10.244.1.16
70,29,8,13,217,master-10.244.0.12:exec-10.244.1.16
70,30,4,11,219,master-10.244.0.12:exec-10.244.0.12
70,31,11,11,230,master-10.244.0.12:exec-10.244.1.16
70,32,2,16,236,master-10.244.0.12:exec-10.244.0.12
70,33,11,13,245,master-10.244.0.12:exec-10.244.1.16
70,34,6,11,249,master-10.244.0.12:exec-10.244.0.12
70,35,8,11,258,master-10.244.1.16:exec-10.244.1.16
70,36,4,11,263,master-10.244.2.13:exec-10.244.2.13
70,37,8,13,274,master-10.244.0.12:exec-10.244.1.16
70,38,4,13,278,master-10.244.0.12:exec-10.244.0.12
70,40,0,16,291,master-10.244.2.13:exec-10.244.2.13
70,39,10,16,291,master-10.244.0.12:exec-10.244.1.16
70,41,4,13,293,master-10.244.1.16:exec-10.244.1.16
70,42,12,15,307,master-10.244.1.16:exec-10.244.1.16
70,43,0,16,309,master-10.244.2.13:exec-10.244.2.13
70,44,16,11,320,master-10.244.0.12:exec-10.244.0.12
70,45,1,13,325,master-10.244.3.25:exec-10.244.3.25
70,46,11,11,334,master-10.244.1.16:exec-10.244.1.16
70,47,4,16,342,master-10.244.1.16:exec-10.244.1.16
70,48,9,16,351,master-10.244.0.12:exec-10.244.0.12
70,49,8,11,355,master-10.244.0.12:exec-10.244.1.16
70,50,9,16,369,master-10.244.2.13:exec-10.244.0.12
70,52,0,13,371,master-10.244.3.25:exec-10.244.3.25
70,51,4,16,373,master-10.244.1.16:exec-10.244.1.16
70,53,13,16,386,master-10.244.3.25:exec-10.244.0.12
70,54,1,16,388,master-10.244.3.25:exec-10.244.3.25
70,55,2,13,388,master-10.244.1.16:exec-10.244.1.16
70,56,15,11,401,master-10.244.1.16:exec-10.244.1.16
70,57,0,16,406,master-10.244.3.25:exec-10.244.3.25
70,58,13,11,414,master-10.244.1.16:exec-10.244.1.16
70,59,4,16,423,master-10.244.3.25:exec-10.244.3.25
70,60,8,13,430,master-10.244.0.12:exec-10.244.0.12
70,61,8,12,436,master-10.244.3.25:exec-10.244.3.25
70,62,6,16,447,master-10.244.1.16:exec-10.244.1.16
70,63,6,13,452,master-10.244.0.12:exec-10.244.0.12
70,64,10,11,460,master-10.244.1.16:exec-10.244.1.16
70,65,4,11,465,master-10.244.1.16:exec-10.244.1.16
70,66,8,16,478,master-10.244.0.12:exec-10.244.0.12
70,67,4,22,489,master-10.244.1.16:exec-10.244.1.16
70,68,0,26,493,master-10.244.2.13:exec-10.244.2.13
70,69,23,13,504,master-10.244.1.16:exec-10.244.1.16
