NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart,ExecutedAt
40,1,0,12,12,10.244.2.14
40,0,0,16,16,10.244.0.13
40,3,4,12,29,10.244.0.13
40,2,12,16,29,10.244.2.14
40,4,12,12,41,10.244.0.13
40,5,0,12,41,10.244.2.14
40,6,12,12,54,10.244.0.13
40,7,0,13,55,10.244.2.14
40,8,12,12,66,10.244.0.13
40,9,1,12,68,10.244.2.14
40,10,11,12,79,10.244.0.13
40,11,1,12,80,10.244.2.14
40,13,1,13,94,10.244.2.14
40,12,11,16,96,10.244.0.13
40,14,14,12,106,10.244.2.14
40,15,1,13,110,10.244.0.13
40,16,10,12,119,10.244.2.14
40,17,3,12,122,10.244.0.13
40,18,8,12,131,10.244.2.14
40,19,3,12,134,10.244.0.13
40,20,8,12,143,10.244.2.14
40,21,3,12,147,10.244.0.13
40,22,8,12,156,10.244.2.14
40,23,3,14,161,10.244.0.13
40,24,8,12,168,10.244.2.14
40,25,5,12,173,10.244.0.13
40,26,7,12,181,10.244.2.14
40,27,5,16,190,10.244.0.13
40,28,7,12,193,10.244.2.14
40,29,9,13,204,10.244.0.13
40,30,2,12,205,10.244.2.14
40,31,11,12,217,10.244.0.13
40,32,1,16,222,10.244.2.14
40,33,11,14,231,10.244.0.13
40,34,5,12,235,10.244.2.14
40,35,8,12,244,10.244.0.13
40,36,3,12,247,10.244.2.14
40,37,9,14,258,10.244.0.13
40,38,3,13,261,10.244.2.14
40,39,10,16,275,10.244.0.13
