NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart,ExecutedAt
50,1,0,12,12,10.244.2.14
50,0,0,16,16,10.244.0.13
50,3,4,12,29,10.244.0.13
50,2,12,16,29,10.244.2.14
50,4,12,12,41,10.244.0.13
50,5,0,12,41,10.244.2.14
50,6,12,12,54,10.244.0.13
50,7,0,14,55,10.244.2.14
50,8,12,13,67,10.244.0.13
50,9,1,12,68,10.244.2.14
50,10,11,12,79,10.244.0.13
50,11,0,12,80,10.244.2.14
50,13,0,14,94,10.244.2.14
50,12,11,16,96,10.244.0.13
50,14,14,12,106,10.244.2.14
50,15,1,14,110,10.244.0.13
50,16,10,12,119,10.244.2.14
50,17,3,12,122,10.244.0.13
50,18,8,12,131,10.244.2.14
50,19,3,12,135,10.244.0.13
50,20,8,12,143,10.244.2.14
50,21,3,12,147,10.244.0.13
50,22,8,12,156,10.244.2.14
50,23,4,13,161,10.244.0.13
50,24,8,12,168,10.244.2.14
50,25,5,12,174,10.244.0.13
50,26,6,12,180,10.244.2.14
50,27,5,16,190,10.244.0.13
50,28,6,12,193,10.244.2.14
50,29,10,14,204,10.244.0.13
50,30,2,12,205,10.244.2.14
50,31,11,12,217,10.244.0.13
50,32,0,16,222,10.244.2.14
50,33,11,13,231,10.244.0.13
50,34,5,12,234,10.244.2.14
50,35,8,12,243,10.244.0.13
50,36,3,12,247,10.244.2.14
50,37,8,14,257,10.244.0.13
50,38,3,13,261,10.244.2.14
50,39,10,16,274,10.244.0.13
50,40,3,16,278,10.244.2.14
50,41,13,13,288,10.244.0.13
50,42,3,16,294,10.244.2.14
50,43,10,16,304,10.244.0.13
50,44,6,12,307,10.244.2.14
50,45,10,13,318,10.244.0.13
50,46,2,12,319,10.244.2.14
50,47,11,16,335,10.244.0.13
50,48,0,16,336,10.244.2.14
50,49,15,12,347,10.244.0.13
