NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart,ExecutedAt
20,0,0,16,16,10.244.0.4
20,1,16,12,28,10.244.1.7
20,2,12,16,45,10.244.0.4
20,3,16,12,58,10.244.1.7
20,4,12,12,70,10.244.0.4
20,5,12,12,82,10.244.1.7
20,6,12,12,94,10.244.0.4
20,7,12,14,108,10.244.1.7
20,8,14,12,121,10.244.0.4
20,9,12,12,133,10.244.1.7
20,10,12,12,145,10.244.0.4
20,11,12,12,158,10.244.1.7
20,12,12,16,174,10.244.0.4
20,13,16,14,188,10.244.1.7
20,14,14,12,201,10.244.0.4
20,15,12,13,215,10.244.1.7
20,16,13,12,227,10.244.0.4
20,17,12,12,239,10.244.1.7
20,18,12,12,252,10.244.0.4
20,19,12,12,264,10.244.1.7
