NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart,ExecutedAt
20,1,0,11,13,master-10.244.0.12:exec-10.244.0.12
20,0,0,16,17,master-10.244.1.16:exec-10.244.1.16
20,2,13,16,30,master-10.244.0.12:exec-10.244.0.12
20,3,4,12,31,master-10.244.3.25:exec-10.244.3.25
20,4,13,11,43,master-10.244.2.13:exec-10.244.2.13
20,5,0,11,44,master-10.244.0.12:exec-10.244.0.12
20,6,12,12,57,master-10.244.3.25:exec-10.244.3.25
20,7,0,13,59,master-10.244.1.16:exec-10.244.1.16
20,8,12,12,70,master-10.244.3.25:exec-10.244.3.25
20,9,2,11,72,master-10.244.3.25:exec-10.244.1.16
20,10,10,12,83,master-10.244.3.25:exec-10.244.3.25
20,11,2,11,85,master-10.244.2.13:exec-10.244.2.13
20,12,10,16,100,master-10.244.3.25:exec-10.244.3.25
20,13,2,13,101,master-10.244.1.16:exec-10.244.1.16
20,14,14,11,113,master-10.244.0.12:exec-10.244.0.12
20,15,0,13,116,master-10.244.2.13:exec-10.244.2.13
20,16,12,11,127,master-10.244.3.25:exec-10.244.3.25
20,17,2,11,129,master-10.244.0.12:exec-10.244.0.12
20,18,10,11,140,master-10.244.2.13:exec-10.244.2.13
20,19,2,11,142,master-10.244.2.13:exec-10.244.2.13
