WorldSize,Run,Time
2,0,619.86
3,0,414.22
4,0,320.66
5,0,359.35
6,0,295.19
7,0,314.21
8,0,258.08
9,0,244.30
10,0,246.03
11,0,259.50
12,0,247.21
13,0,267.57
14,0,265.54
15,0,274.95
16,0,289.81
