WorldSize,Run,Time
2,0,619.97
3,0,413.68
4,0,319.00
5,0,356.12
6,0,291.27
7,0,308.94
8,0,251.78
9,0,219.52
10,0,203.78
11,0,198.63
12,0,166.56
13,0,168.24
14,0,144.52
15,0,134.24
16,0,127.31
